id,title,tags
106.0,Predator,PredatorCollection ScienceFiction Action Adventure Thriller Dutch and his group of commandos are hired by the CIA to rescue downed airmen from guerillas in a Central American jungle The mission goes well but as they return they find that something is hunting them Nearly invisible it blends in with the forest taking trophies from the bodies of its victims as it goes along Occasionally seeing through its eyes the audience sees it is an intelligent alien hunter hunting them for sport killing them off one at a time ArnoldSchwarzenegger CarlWeathers ElpidiaCarrillo JohnMcTiernan
108.0,Three Colors: Blue,ThreeColorsCollection Drama Music Mystery A woman struggles to find a way to live her life after the death of her husband and child JulietteBinoche BenoîtRégent FlorencePernel KrzysztofKieślowski
109.0,Three Colors: White,ThreeColorsCollection Comedy Drama Mystery Polish immigrant Karol Karol finds himself out of a marriage a job and a country when his French wife Dominique divorces him after six months due to his impotence Forced to leave France after losing the business they jointly owned Karol enlists fellow Polish expatriate Mikolah to smuggle him back to their homeland ZbigniewZamachowski JulieDelpy JanuszGajos KrzysztofKieślowski
110.0,Three Colors: Red,ThreeColorsCollection Drama Mystery Romance Red This is the third film from the trilogy by Kieślowski “Red” meaning brotherliness Here Kieślowski masterly tells strange coincidentally linked stories in the most packed work IrèneJacob Jean-LouisTrintignant Jean-PierreLorit KrzysztofKieślowski
120.0,The Lord of the Rings: The Fellowship of the Ring,TheLordoftheRingsCollection Adventure Fantasy Action Young hobbit Frodo Baggins after inheriting a mysterious ring from his uncle Bilbo must leave his home in order to keep it from falling into the hands of its evil creator Along the way a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt Doom the only place where it can be destroyed ElijahWood IanMcKellen CateBlanchett PeterJackson
121.0,The Lord of the Rings: The Two Towers,TheLordoftheRingsCollection Adventure Fantasy Action Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli Legolas and Aragorn search for the orc-captured Merry and Pippin All along nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard ElijahWood IanMcKellen ViggoMortensen PeterJackson
122.0,The Lord of the Rings: The Return of the King,TheLordoftheRingsCollection Adventure Fantasy Action Aragorn is revealed as the heir to the ancient kings as he Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces Meanwhile Frodo and Sam bring the ring closer to the heart of Mordor the dark lord's realm ElijahWood IanMcKellen ViggoMortensen PeterJackson
123.0,The Lord of the Rings,TheLordoftheRingsAnimatedCollection Fantasy Drama Animation Adventure The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth ChristopherGuard WilliamSquire MichaelScholes RalphBakshi
141.0,Donnie Darko,DarkoCollection Fantasy Drama Mystery After narrowly escaping a bizarre accident a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes JakeGyllenhaal JenaMalone PatrickSwayze RichardKelly
147.0,The 400 Blows,TheAdventuresofAntoineDoinel Drama For young Parisian boy Antoine Doinel life is one difficult situation after another Surrounded by inconsiderate adults including his neglectful parents Antoine spends his days with his best friend Rene trying to plan for a better life When one of their schemes goes awry Antoine ends up in trouble with the law leading to even more conflicts with unsympathetic authority figures Jean-PierreLéaud ClaireMaurier AlbertRémy FrançoisTruffaut
150.0,48 Hrs.,48HrsCollection Thriller Action Comedy Crime Drama A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him in order to track down a killer NickNolte EddieMurphy AnnetteO'Toole WalterHill
152.0,Star Trek: The Motion Picture,StarTrek:TheOriginalSeriesCollection ScienceFiction Adventure Mystery When a destructive space entity is spotted approaching Earth Admiral Kirk resumes command of the Starship Enterprise in order to intercept examine and hopefully stop it WilliamShatner LeonardNimoy DeForestKelley RobertWise
154.0,Star Trek II: The Wrath of Khan,StarTrek:TheOriginalSeriesCollection Action Adventure ScienceFiction Thriller Admiral James T Kirk is feeling old; the prospect of accompanying his old ship the Enterprise on a two week cadet cruise is not making him feel any younger But the training cruise becomes a a life or death struggle when Khan escapes from years of exile and captures the power of creation itself WilliamShatner LeonardNimoy DeForestKelley NicholasMeyer
155.0,The Dark Knight,TheDarkKnightCollection Drama Action Crime Thriller Batman raises the stakes in his war on crime With the help of Lt Jim Gordon and District Attorney Harvey Dent Batman sets out to dismantle the remaining criminal organizations that plague the streets The partnership proves to be effective but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker ChristianBale MichaelCaine HeathLedger ChristopherNolan
157.0,Star Trek III: The Search for Spock,StarTrek:TheOriginalSeriesCollection ScienceFiction Action Adventure Thriller Admiral Kirk and his bridge crew risk their careers stealing the decommissioned Enterprise to return to the restricted Genesis planet to recover Spock's body WilliamShatner LeonardNimoy DeForestKelley LeonardNimoy
161.0,Ocean's Eleven,Ocean'sCollection Thriller Crime Less than 24 hours into his parole charismatic thief Danny Ocean is already rolling out his next plan: In one night Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos But to score the cash Danny risks his chances of reconciling with ex-wife Tess GeorgeClooney BradPitt MattDamon StevenSoderbergh
163.0,Ocean's Twelve,Ocean'sCollection Thriller Crime Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome Paris and Amsterdam – but a Europol agent is hot on their heels GeorgeClooney BradPitt CatherineZeta-Jones StevenSoderbergh
165.0,Back to the Future Part II,BacktotheFutureCollection Adventure Comedy Family ScienceFiction Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud But things go awry thanks to bully Biff Tannen and a pesky sports almanac In a last-ditch attempt to set things straight Marty finds himself bound for 1955 and face to face with his teenage parents -- again MichaelJFox ChristopherLloyd LeaThompson RobertZemeckis
166.0,The Party,ThePartyCollection Drama Romance Comedy Le Boum is the story of a 13-year-old French girl dealing with moving to a new city and school in Paris while at the same time her parents are getting a divorce ClaudeBrasseur BrigitteFossey SophieMarceau ClaudePinoteau
168.0,Star Trek IV: The Voyage Home,StarTrek:TheOriginalSeriesCollection ScienceFiction Adventure Fugitives of the Federation for their daring rescue of Spock from the doomed Genesis Planet Admiral Kirk (William Shatner) and his crew begin their journey home to face justice for their actions But as they near Earth they find it at the mercy of a mysterious alien presence whose signals are slowly destroying the planet In a desperate attempt to answer the call of the probe Kirk and his crew race back to the late twentieth century However they soon find the world they once knew to be more alien than anything they've encountered in the far reaches of the galaxy! WilliamShatner LeonardNimoy DeForestKelley LeonardNimoy
169.0,Predator 2,PredatorCollection ScienceFiction Action Thriller Ten years after a band of mercenaries first battled a vicious alien the invisible creature from another world has returned to Earth -- and this time it's drawn to the gang-ruled and ravaged city of Los Angeles When it starts murdering drug dealers detective-lieutenant Mike Harrigan and his police force set out to capture the creature ignoring warnings from a mysterious government agent to stay away KevinPeterHall DannyGlover GaryBusey StephenHopkins
170.0,28 Days Later,28Days/WeeksLaterCollection Horror Thriller ScienceFiction Twenty-eight days after a killer virus was accidentally unleashed from a British research facility a small group of London survivors are caught in a desperate struggle to protect themselves from the infected Carried by animals and humans the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain CillianMurphy NaomieHarris NoahHuntley DannyBoyle
171.0,The Party 2,ThePartyCollection Comedy The second film from the Le Boum series about a young French teenage girl who after moving to a new city falls in love with a boy and is thinking of having sex with him because her girlfriends have already done it ClaudeBrasseur BrigitteFossey SophieMarceau ClaudePinoteau
172.0,Star Trek V: The Final Frontier,StarTrek:TheOriginalSeriesCollection ScienceFiction Action Adventure Thriller Capt Kirk and his crew must deal with Mr Spock's half brother who kidnaps three diplomats and hijacks the Enterprise in his obsessive search for God WilliamShatner LeonardNimoy DeForestKelley WilliamShatner
174.0,Star Trek VI: The Undiscovered Country,StarTrek:TheOriginalSeriesCollection ScienceFiction Action Adventure Thriller On the eve of retirement Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace WilliamShatner LeonardNimoy DeForestKelley NicholasMeyer
176.0,Saw,SawCollection Horror Mystery Crime Obsessed with teaching his victims the value of life a deranged sadistic serial killer abducts the morally wayward Once captured they must face impossible choices in a horrific game of survival The victims must fight to win their lives back or die trying CaryElwes DannyGlover MonicaPotter JamesWan
187.0,Sin City,SinCityCollection Action Thriller Crime Welcome to Sin City This town beckons to the tough the corrupt the brokenhearted Some call it dark… Hard-boiled Then there are those who call it home — Crooked cops sexy dames desperate vigilantes Some are seeking revenge others lust after redemption and then there are those hoping for a little of both A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care JessicaAlba DevonAoki CliveOwen RobertRodriguez FrankMiller
189.0,Sin City: A Dame to Kill For,SinCityCollection Crime Thriller Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants MickeyRourke JessicaAlba JoshBrolin RobertRodriguez FrankMiller
193.0,Star Trek: Generations,StarTrek:TheNextGenerationCollection ScienceFiction Action Adventure Thriller Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems Only one man can help Picard stop Soran's schemeand he's been dead for seventy-eight years PatrickStewart JonathanFrakes BrentSpiner DavidCarson
196.0,Back to the Future Part III,BacktotheFutureCollection Adventure Comedy Family ScienceFiction The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking up Doc in the Wild West of 1885 But when their time machine breaks down the travelers are stranded in a land of spurs More problems arise when Doc falls for pretty schoolteacher Clara Clayton and Marty tangles with Buford Tannen MichaelJFox ChristopherLloyd MarySteenburgen RobertZemeckis
199.0,Star Trek: First Contact,StarTrek:TheNextGenerationCollection ScienceFiction Action Adventure Thriller The Borg a relentless race of cyborgs are on a direct course for Earth Violating orders to stay away from the battle Captain Picard and the crew of the newly-commissioned USS Enterprise E pursue the Borg back in time to prevent the invaders from changing Federation history and assimilating the galaxy PatrickStewart JonathanFrakes BrentSpiner JonathanFrakes
200.0,Star Trek: Insurrection,"StarTrek:TheNextGenerationCollection ScienceFiction Action Adventure Thriller When an alien race and factions within Starfleet attempt to take over a planet that has ""regenerative"" properties it falls upon Captain Picard and the crew of the Enterprise to defend the planet's people as well as the very ideals upon which the Federation itself was founded PatrickStewart JonathanFrakes BrentSpiner JonathanFrakes"
201.0,Star Trek: Nemesis,StarTrek:TheNextGenerationCollection ScienceFiction Action Adventure Thriller En route to the honeymoon of William Riker to Deanna Troi on her home planet of Betazed Captain Jean-Luc Picard and the crew of the USS Enterprise receives word from Starfleet that a coup has resulted in the installation of a new Romulan political leader Shinzon who claims to seek peace with the human-backed United Federation of Planets Once in enemy territory the captain and his crew make a startling discovery: Shinzon is human a slave from the Romulan sister planet of Remus and has a secret shocking relationship to Picard himself PatrickStewart JonathanFrakes BrentSpiner StuartBaird
214.0,Saw III,SawCollection Horror Thriller Crime Jigsaw has disappeared Along with his new apprentice Amanda the puppet-master behind the cruel intricate games that have terrified a community and baffled police has once again eluded capture and vanished While city detective scramble to locate him Doctor Lynn Denlon and Jeff Reinhart are unaware that they are about to become the latest pawns on his vicious chessboard TobinBell ShawneeSmith AngusMacfadyen DarrenLynnBousman
215.0,Saw II,SawCollection Horror When a new murder victim is discovered with all the signs of Jigsaw's hand Detective Eric Matthews begins a full investigation and apprehends Jigsaw with little effort But for Jigsaw getting caught is just another part of his plan Eight more of his victims are already fighting for their lives and now it's time for Matthews to join the game TobinBell ShawneeSmith DonnieWahlberg DarrenLynnBousman
217.0,Indiana Jones and the Kingdom of the Crystal Skull,IndianaJonesCollection Adventure Action Set during the Cold War the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold After being captured and then escaping from them Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts HarrisonFord CateBlanchett ShiaLaBeouf StevenSpielberg
218.0,The Terminator,"TheTerminatorCollection Action Thriller ScienceFiction In the post-apocalyptic future reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor whose unborn son is destined to lead insurgents against 21st century mechanical hegemony Meanwhile the human-resistance movement dispatches a lone warrior to safeguard Sarah Can he stop the virtually indestructible killing machine? ArnoldSchwarzenegger MichaelBiehn LindaHamilton JamesCameron"
238.0,The Godfather,TheGodfatherCollection Drama Crime Spanning the years 1945 to 1955 a chronicle of the fictional Italian-American Corleone crime family When organized crime family patriarch Vito Corleone barely survives an attempt on his life his youngest son Michael steps in to take care of the would-be killers launching a campaign of bloody revenge MarlonBrando AlPacino JamesCaan FrancisFordCoppola
240.0,The Godfather: Part II,TheGodfatherCollection Drama Crime In the continuing saga of the Corleone crime family a young Vito Corleone grows up in Sicily and in 1910s New York In the 1950s Michael Corleone attempts to expand the family business into Las Vegas Hollywood and Cuba AlPacino RobertDuvall DianeKeaton FrancisFordCoppola
242.0,The Godfather: Part III,TheGodfatherCollection Crime Drama Thriller In the midst of trying to legitimize his business dealings in 1979 New York and Italy aging mafia don Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing AlPacino DianeKeaton AndyGarcía FrancisFordCoppola
